complaint_id,road_segment_id,complaint_date,complaint_time,latitude,longitude,location_description,complaint_text,language,damage_type,severity,traffic_impact,safety_risk,vehicle_accident_reported,pedestrian_risk,two_wheeler_risk,emergency_route,status,assigned_department,resolution_date,resolution_type,photo_path,submission_channel
CMP_000001,RD_00090,09-07-2026,15:26,12.903238,80.162229,Near Ambattur,Road defect requires inspection and repair,Tamil-English,Missing_Manhole_Cover,High,Low,Critical,No,No,No,No,Resolved,GCC Roads,31-07-2026,Resurfacing,,legacy_record
CMP_000002,RD_00546,19-04-2026,10:13,13.137948,80.163591,Near Thoraipakkam,Road condition is worsening at this location,Tamil-English,Alligator_Cracking,Low,High,Medium,No,No,Yes,No,Open,GCC Roads,,,,legacy_record
CMP_000003,RD_00779,02-07-2026,16:55,13.092304,80.281555,Near Pallikaranai,Damaged section is affecting normal traffic,Tamil-English,Broken_Streetlight,Medium,Medium,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000004,RD_00098,18-03-2026,18:49,12.912903,80.224657,Near Velachery,Road defect requires inspection and repair,Tamil-English,Missing_Manhole_Cover,Medium,Medium,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000005,RD_00665,10-01-2026,03:14,13.095528,80.180674,Near Pallikaranai,Road condition is worsening at this location,Tamil-English,Edge_Cracking,Medium,Medium,High,No,Yes,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000006,RD_00277,11-04-2026,23:51,13.042134,80.249889,Near Saidapet,Large pothole near the road junction causing vehicles to slow down,Tamil,Pothole,Low,Medium,Low,No,No,Yes,No,In Progress,GCC Roads,,,,legacy_record
CMP_000007,RD_00407,09-07-2026,17:41,13.022838,80.21626,Near T Nagar,Unsafe road condition reported by residents,English,Missing_Manhole_Cover,Medium,Low,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000008,RD_00367,11-08-2026,11:41,13.141894,80.289611,Near Nungambakkam,Damaged section is affecting normal traffic,English,Missing_Manhole_Cover,Critical,High,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000009,RD_00456,24-04-2026,20:01,13.003881,80.203797,Near Mylapore,Road has been dug up for utility work,Tamil-English,Utility_Excavation,Medium,Medium,Medium,Yes,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000010,RD_00678,26-01-2026,04:35,13.090763,80.295192,Near Velachery,Road cut has not been properly restored after utility work,Tamil,Unrestored_Road_Cut,Critical,Medium,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000011,RD_00783,09-02-2026,13:32,13.028753,80.179912,Near Guindy,Road defect requires inspection and repair,English,Damaged_Manhole,Medium,Medium,Medium,No,No,No,No,Resolved,GCC Roads,18-02-2026,Resurfacing,,legacy_record
CMP_000012,RD_00555,28-06-2026,17:56,13.000702,80.150993,Near Porur,Utility excavation is obstructing the road,English,Utility_Excavation,High,Low,,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000013,RD_00906,04-03-2026,23:56,13.013669,80.185732,Near Nungambakkam,Road surface is damaged and needs attention,Tamil-English,Uneven_Surface,Low,Medium,Critical,No,No,No,No,Resolved,GCC Roads,08-03-2026,Resurfacing,,legacy_record
CMP_000014,RD_00411,02-04-2026,21:05,13.147877,80.174453,Near Thoraipakkam,Unsafe road condition reported by residents,English,Broken_Streetlight,Medium,Severe,Low,No,No,No,No,Resolved,GCC Roads,28-04-2026,Resurfacing,,legacy_record
CMP_000015,RD_00321,27-08-2026,11:30,12.967179,80.204677,Near Mylapore,Road surface is damaged and needs attention,Tamil-English,Missing_Manhole_Cover,Low,Low,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000016,RD_00582,22-07-2026,03:26,12.903554,80.287685,Near T Nagar,Road condition is worsening at this location,Tamil,Edge_Cracking,Medium,Medium,Medium,No,No,No,No,Resolved,GCC Roads,18-08-2026,Resurfacing,,legacy_record
CMP_000017,RD_00025,03-07-2026,10:00,13.138489,80.200457,Near Velachery,Road surface is damaged and needs attention,English,Other,Critical,High,Medium,No,No,No,No,Resolved,GCC Roads,21-07-2026,Resurfacing,,legacy_record
CMP_000018,RD_00830,17-08-2026,20:45,13.067331,80.210335,Near Mylapore,Damaged section is affecting normal traffic,Tamil,Damaged_Footpath,Medium,Medium,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000019,RD_00476,26-05-2026,08:08,12.926256,80.274866,Near Shenoy Nagar,Road defect requires inspection and repair,Tamil,Uneven_Surface,Medium,Low,High,Yes,No,Yes,No,Open,GCC Roads,,,,legacy_record
CMP_000020,RD_00022,07-05-2026,16:48,12.906489,80.225549,Near Adambakkam,Road section repeatedly floods during rain,English,Waterlogging,Medium,High,High,No,No,Yes,No,Open,GCC Roads,,,,legacy_record
CMP_000021,RD_00926,09-05-2026,21:06,13.109164,80.299246,Near Mylapore,Road defect requires inspection and repair,Tamil-English,Alligator_Cracking,Low,High,Low,No,No,No,No,Resolved,GCC Roads,02-06-2026,Resurfacing,,legacy_record
CMP_000022,RD_00827,12-05-2026,07:30,13.122011,80.217422,Near Maduravoyal,Road defect requires inspection and repair,Tamil,Other,Medium,Medium,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000023,RD_00233,14-02-2026,16:14,13.14319,80.200282,Near Mogappair,Unsafe road condition reported by residents,Tamil,Road_Collapse,High,Medium,Medium,No,No,No,No,Resolved,GCC Roads,14-03-2026,Resurfacing,,legacy_record
CMP_000024,RD_00533,27-05-2026,16:30,13.02226,80.169182,Near Nungambakkam,Road defect requires inspection and repair,English,Construction_Debris,High,Low,High,No,No,No,No,Resolved,GCC Roads,01-06-2026,Resurfacing,,legacy_record
CMP_000025,RD_00801,23-01-2026,06:43,13.001762,80.181143,Near Ambattur,Road surface is damaged and needs attention,English,Damaged_Footpath,High,Low,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000026,RD_00140,17-08-2026,20:07,12.960005,80.185364,Near Adambakkam,Road cut has not been properly restored after utility work,Tamil-English,Unrestored_Road_Cut,Low,High,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000027,RD_00763,24-08-2026,03:05,13.051592,80.280708,Near Velachery,Road condition is worsening at this location,Tamil,Obstruction,Medium,High,Medium,No,No,No,No,Resolved,GCC Roads,07-09-2026,Resurfacing,,legacy_record
CMP_000028,RD_00987,04-08-2026,15:07,13.073656,80.287712,Near Ambattur,Road condition is worsening at this location,Tamil,Edge_Cracking,High,,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000029,RD_00391,02-09-2026,01:52,13.069897,80.162017,Near Velachery,Damaged section is affecting normal traffic,Tamil-English,Damaged_Signage,High,Low,Critical,Yes,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000030,RD_00898,18-07-2026,04:00,12.968604,80.264104,Near Guindy,Damaged section is affecting normal traffic,English,Road_Work_Incomplete,Low,,,No,No,No,No,Resolved,GCC Roads,07-08-2026,Resurfacing,,legacy_record
CMP_000031,RD_00058,20-07-2026,20:26,13.073994,80.268435,Near Besant Nagar,Road surface has developed multiple cracks,English,Crack,Low,Medium,High,No,No,No,No,Resolved,GCC Roads,27-07-2026,Resurfacing,,legacy_record
CMP_000032,RD_00194,05-05-2026,01:04,13.088317,80.275838,Near Shenoy Nagar,Road surface is damaged and needs attention,English,Missing_Road_Marking,High,High,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000033,RD_00249,20-08-2026,12:18,13.093293,80.29726,Near T Nagar,Severe waterlogging affecting traffic movement,Tamil-English,Waterlogging,High,Medium,Critical,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000034,RD_00475,31-05-2026,10:47,13.06884,80.245202,Near Adyar,Road condition is worsening at this location,Tamil,Missing_Road_Marking,Medium,Medium,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000035,RD_00590,21-06-2026,13:38,13.011259,80.196712,Near Pallikaranai,Unsafe road condition reported by residents,Tamil-English,Damaged_Footpath,Medium,High,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000036,RD_00737,07-03-2026,19:14,12.93257,80.265242,Near Velachery,Road condition is worsening at this location,Tamil-English,Road_Collapse,Medium,Low,Low,No,No,No,Yes,Open,GCC Roads,,,,legacy_record
CMP_000037,RD_00437,22-07-2026,16:51,12.924269,80.169166,Near Maduravoyal,Severe waterlogging affecting traffic movement,Tamil,Waterlogging,Low,Medium,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000038,RD_00773,15-08-2026,15:20,13.106732,80.25497,Near Taramani,Several potholes visible on the carriageway,Tamil-English,Pothole,Medium,Low,Low,No,No,No,No,Resolved,GCC Roads,22-08-2026,Pothole filling,,legacy_record
