event_id,road_segment_id,event_date,event_type,department,contractor,work_description,work_status,start_date,completion_date,reference_number,estimated_cost,road_cutting,restoration_required,restoration_completed,notes
EVT_000001,RD_00604,13-08-2026,Drainage_Work,TANGEDCO,Contractor_04,Road resurfacing,Completed,13-08-2026,20-08-2026,GCC/ROAD/2026/8770,499026,No,No,N/A,Synthetic prototype intervention record
EVT_000002,RD_00499,17-06-2026,Drainage_Work,Chennai Metro Water,Contractor_03,Drainage maintenance,Completed,17-06-2026,18-06-2026,GCC/ROAD/2026/3000,513505,No,No,N/A,Synthetic prototype intervention record
EVT_000003,RD_00036,03-03-2026,Drainage_Work,Chennai Metro Water,Contractor_24,Utility excavation and restoration,Completed,03-03-2026,05-03-2026,GCC/ROAD/2026/3455,653654,No,No,N/A,Synthetic prototype intervention record
EVT_000004,RD_00733,31-08-2026,Utility_Work,TANGEDCO,Contractor_02,Drainage maintenance,Completed,31-08-2026,14-09-2026,GCC/ROAD/2026/7939,398219,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000005,RD_00806,17-08-2026,Road_Repair,GCC Roads,Contractor_30,Emergency road repair,Completed,17-08-2026,30-08-2026,GCC/ROAD/2026/2871,197369,No,No,N/A,Synthetic prototype intervention record
EVT_000006,RD_00019,25-05-2026,Road_Repair,GCC Roads,Contractor_22,Surface repair and maintenance,Completed,25-05-2026,06-06-2026,GCC/ROAD/2026/3338,589091,No,No,N/A,Synthetic prototype intervention record
EVT_000007,RD_00160,31-05-2026,Road_Repair,GCC Roads,Contractor_22,Surface repair and maintenance,Completed,31-05-2026,07-06-2026,GCC/ROAD/2026/3403,396575,No,No,N/A,Synthetic prototype intervention record
EVT_000008,RD_00902,08-07-2026,Utility_Work,Chennai Metro Water,Contractor_02,Road resurfacing,Completed,08-07-2026,12-07-2026,GCC/ROAD/2026/6184,585384,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000009,RD_00407,03-08-2026,Resurfacing,GCC Roads,Contractor_12,Emergency road repair,Completed,03-08-2026,09-08-2026,GCC/ROAD/2026/2645,578126,No,No,N/A,Synthetic prototype intervention record
EVT_000010,RD_00899,31-01-2026,Drainage_Work,Telecom Utility,Contractor_19,Drainage maintenance,Completed,31-01-2026,03-02-2026,GCC/ROAD/2026/7515,695543,No,No,N/A,Synthetic prototype intervention record
EVT_000011,RD_00768,13-04-2026,Road_Repair,GCC Roads,Contractor_29,Emergency road repair,Completed,13-04-2026,26-04-2026,GCC/ROAD/2026/1179,113627,No,No,N/A,Synthetic prototype intervention record
EVT_000012,RD_00707,25-03-2026,Resurfacing,GCC Roads,Contractor_10,Surface repair and maintenance,Completed,25-03-2026,29-03-2026,GCC/ROAD/2026/2161,495780,No,No,N/A,Synthetic prototype intervention record
EVT_000013,RD_00021,13-05-2026,Resurfacing,GCC Roads,Contractor_09,Surface repair and maintenance,Completed,13-05-2026,22-05-2026,GCC/ROAD/2026/4889,512875,No,No,N/A,Synthetic prototype intervention record
EVT_000014,RD_00729,27-01-2026,Road_Restoration,Chennai Metro Water,Contractor_17,Road resurfacing,Completed,27-01-2026,10-02-2026,GCC/ROAD/2026/8777,63722,No,No,N/A,Synthetic prototype intervention record
EVT_000015,RD_00940,14-06-2026,Emergency_Repair,GCC Roads,Contractor_01,Drainage maintenance,Completed,14-06-2026,15-06-2026,GCC/ROAD/2026/4855,673187,No,No,N/A,Synthetic prototype intervention record
EVT_000016,RD_00092,01-08-2026,Construction,Chennai Metro Water,Contractor_21,Drainage maintenance,Completed,01-08-2026,10-08-2026,GCC/ROAD/2026/1222,132686,No,No,N/A,Synthetic prototype intervention record
EVT_000017,RD_00124,01-04-2026,Pothole_Repair,GCC Roads,Contractor_06,Utility excavation and restoration,Completed,01-04-2026,04-04-2026,GCC/ROAD/2026/6173,271446,No,No,N/A,Synthetic prototype intervention record
EVT_000018,RD_00708,25-03-2026,Road_Restoration,Telecom Utility,Contractor_29,Utility excavation and restoration,Completed,25-03-2026,02-04-2026,GCC/ROAD/2026/2781,334570,No,No,N/A,Synthetic prototype intervention record
EVT_000019,RD_00921,30-05-2026,Road_Repair,GCC Roads,Contractor_14,Surface repair and maintenance,Completed,30-05-2026,09-06-2026,GCC/ROAD/2026/1691,101207,No,No,N/A,Synthetic prototype intervention record
EVT_000020,RD_00445,08-05-2026,Construction,Telecom Utility,Contractor_27,Drainage maintenance,Completed,08-05-2026,18-05-2026,GCC/ROAD/2026/4469,205211,No,No,N/A,Synthetic prototype intervention record
EVT_000021,RD_00002,01-02-2026,Resurfacing,GCC Roads,Contractor_13,Road resurfacing,Completed,01-02-2026,13-02-2026,GCC/ROAD/2026/4223,238746,No,No,N/A,Synthetic prototype intervention record
EVT_000022,RD_00076,04-05-2026,Resurfacing,GCC Roads,Contractor_26,Utility excavation and restoration,Completed,04-05-2026,10-05-2026,GCC/ROAD/2026/9261,141729,No,No,N/A,Synthetic prototype intervention record
EVT_000023,RD_00989,11-03-2026,Road_Repair,GCC Roads,Contractor_22,Utility excavation and restoration,Completed,11-03-2026,20-03-2026,GCC/ROAD/2026/6158,310002,No,No,N/A,Synthetic prototype intervention record
EVT_000024,RD_00242,28-06-2026,Road_Repair,GCC Roads,Contractor_13,Utility excavation and restoration,Completed,28-06-2026,30-06-2026,GCC/ROAD/2026/3855,164398,No,No,N/A,Synthetic prototype intervention record
EVT_000025,RD_00957,06-01-2026,Resurfacing,GCC Roads,Contractor_11,Utility excavation and restoration,Completed,06-01-2026,16-01-2026,GCC/ROAD/2026/6088,717240,No,No,N/A,Synthetic prototype intervention record
EVT_000026,RD_00881,07-06-2026,Utility_Excavation,TANGEDCO,Contractor_16,Surface repair and maintenance,Completed,07-06-2026,09-06-2026,GCC/ROAD/2026/6969,180556,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000027,RD_00845,11-01-2026,Construction,TANGEDCO,Contractor_18,Pothole filling,Completed,11-01-2026,12-01-2026,GCC/ROAD/2026/9236,327832,No,No,N/A,Synthetic prototype intervention record
EVT_000028,RD_00203,20-05-2026,Road_Repair,GCC Roads,Contractor_12,Drainage maintenance,Completed,20-05-2026,22-05-2026,GCC/ROAD/2026/5925,448774,No,No,N/A,Synthetic prototype intervention record
EVT_000029,RD_00287,09-02-2026,Utility_Excavation,Other Utility Agency,Contractor_12,Emergency road repair,Completed,09-02-2026,17-02-2026,GCC/ROAD/2026/9995,364236,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000030,RD_00779,16-02-2026,Utility_Work,Chennai Metro Water,Contractor_07,Surface repair and maintenance,Completed,16-02-2026,02-03-2026,GCC/ROAD/2026/1976,433761,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000031,RD_00445,10-01-2026,Road_Repair,GCC Roads,Contractor_10,Utility excavation and restoration,Completed,10-01-2026,23-01-2026,GCC/ROAD/2026/7444,279881,No,No,N/A,Synthetic prototype intervention record
EVT_000032,RD_00647,27-03-2026,Emergency_Repair,GCC Roads,Contractor_05,Emergency road repair,Completed,27-03-2026,03-04-2026,GCC/ROAD/2026/3477,163411,No,No,N/A,Synthetic prototype intervention record
EVT_000033,RD_00857,16-02-2026,Resurfacing,GCC Roads,Contractor_10,Surface repair and maintenance,Completed,16-02-2026,27-02-2026,GCC/ROAD/2026/4074,240740,No,No,N/A,Synthetic prototype intervention record
EVT_000034,RD_00354,10-03-2026,Drainage_Work,TANGEDCO,Contractor_15,Road resurfacing,Completed,10-03-2026,24-03-2026,GCC/ROAD/2026/9011,628623,No,No,N/A,Synthetic prototype intervention record
EVT_000035,RD_00397,09-02-2026,Drainage_Work,Chennai Metro Water,Contractor_06,Road resurfacing,Completed,09-02-2026,12-02-2026,GCC/ROAD/2026/7465,474781,No,No,N/A,Synthetic prototype intervention record
EVT_000036,RD_00429,09-01-2026,Road_Restoration,Chennai Metro Water,Contractor_09,Drainage maintenance,Completed,09-01-2026,17-01-2026,GCC/ROAD/2026/5989,226474,No,No,N/A,Synthetic prototype intervention record
EVT_000037,RD_00774,16-01-2026,Road_Repair,GCC Roads,Contractor_06,Utility excavation and restoration,Completed,16-01-2026,30-01-2026,GCC/ROAD/2026/8582,559243,No,No,N/A,Synthetic prototype intervention record
EVT_000038,RD_00108,13-06-2026,Pothole_Repair,GCC Roads,Contractor_07,Emergency road repair,Completed,13-06-2026,20-06-2026,GCC/ROAD/2026/3629,293980,No,No,N/A,Synthetic prototype intervention record
EVT_000039,RD_00834,26-01-2026,Road_Cutting,Telecom Utility,Contractor_03,Road resurfacing,Completed,26-01-2026,29-01-2026,GCC/ROAD/2026/6504,109959,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000040,RD_00596,08-02-2026,Road_Cutting,TANGEDCO,Contractor_17,Emergency road repair,Completed,08-02-2026,14-02-2026,GCC/ROAD/2026/4655,685945,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000041,RD_00769,16-06-2026,Utility_Excavation,Other Utility Agency,Contractor_22,Utility excavation and restoration,Completed,16-06-2026,17-06-2026,GCC/ROAD/2026/7495,93241,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000042,RD_00895,19-06-2026,Construction,TANGEDCO,Contractor_08,Utility excavation and restoration,Completed,19-06-2026,24-06-2026,GCC/ROAD/2026/1940,447546,No,No,N/A,Synthetic prototype intervention record
EVT_000043,RD_00596,07-02-2026,Utility_Work,Chennai Metro Water,Contractor_15,Drainage maintenance,Completed,07-02-2026,16-02-2026,GCC/ROAD/2026/1928,382059,Yes,Yes,No,Synthetic prototype intervention record
EVT_000044,RD_00816,05-01-2026,Utility_Work,Other Utility Agency,Contractor_10,Utility excavation and restoration,Completed,05-01-2026,13-01-2026,GCC/ROAD/2026/5299,325878,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000045,RD_00365,23-06-2026,Utility_Work,Chennai Metro Water,Contractor_03,Road resurfacing,Completed,23-06-2026,06-07-2026,GCC/ROAD/2026/1132,620361,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000046,RD_00296,26-07-2026,Utility_Work,Chennai Metro Water,Contractor_21,Utility excavation and restoration,Completed,26-07-2026,09-08-2026,GCC/ROAD/2026/7357,558312,Yes,Yes,No,Synthetic prototype intervention record
EVT_000047,RD_00830,24-02-2026,Utility_Excavation,Chennai Metro Water,Contractor_04,Road resurfacing,Completed,24-02-2026,28-02-2026,GCC/ROAD/2026/2404,739444,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000048,RD_00249,06-02-2026,Pothole_Repair,GCC Roads,Contractor_25,Drainage maintenance,Completed,06-02-2026,14-02-2026,GCC/ROAD/2026/8854,291514,No,No,N/A,Synthetic prototype intervention record
EVT_000049,RD_00188,03-05-2026,Road_Repair,GCC Roads,Contractor_17,Emergency road repair,Completed,03-05-2026,04-05-2026,GCC/ROAD/2026/9025,295705,No,No,N/A,Synthetic prototype intervention record
EVT_000050,RD_00135,10-07-2026,Road_Repair,GCC Roads,Contractor_05,Drainage maintenance,Completed,10-07-2026,18-07-2026,GCC/ROAD/2026/3088,381842,No,No,N/A,Synthetic prototype intervention record
EVT_000051,RD_00829,30-08-2026,Utility_Excavation,Chennai Metro Water,Contractor_22,Drainage maintenance,Completed,30-08-2026,31-08-2026,GCC/ROAD/2026/9093,410618,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000052,RD_00871,21-03-2026,Resurfacing,GCC Roads,Contractor_25,Utility excavation and restoration,Completed,21-03-2026,27-03-2026,GCC/ROAD/2026/3249,434736,No,No,N/A,Synthetic prototype intervention record
EVT_000053,RD_00692,26-02-2026,Emergency_Repair,GCC Roads,Contractor_26,Pothole filling,Completed,26-02-2026,05-03-2026,GCC/ROAD/2026/3239,532478,No,No,N/A,Synthetic prototype intervention record
EVT_000054,RD_00070,18-02-2026,Road_Repair,GCC Roads,Contractor_29,Drainage maintenance,Completed,18-02-2026,02-03-2026,GCC/ROAD/2026/8208,140203,No,No,N/A,Synthetic prototype intervention record
EVT_000055,RD_00310,25-04-2026,Utility_Excavation,Chennai Metro Water,Contractor_06,Surface repair and maintenance,Completed,25-04-2026,08-05-2026,GCC/ROAD/2026/4283,284674,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000056,RD_00178,28-04-2026,Road_Repair,GCC Roads,Contractor_14,Road resurfacing,Completed,28-04-2026,11-05-2026,GCC/ROAD/2026/7588,324609,No,No,N/A,Synthetic prototype intervention record
EVT_000057,RD_00001,23-07-2026,Utility_Work,TANGEDCO,Contractor_07,Road resurfacing,Completed,23-07-2026,24-07-2026,GCC/ROAD/2026/4375,550718,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000058,RD_00248,07-03-2026,Pothole_Repair,GCC Roads,Contractor_20,Emergency road repair,Completed,07-03-2026,10-03-2026,GCC/ROAD/2026/5428,486744,No,No,N/A,Synthetic prototype intervention record
EVT_000059,RD_00690,24-03-2026,Pothole_Repair,GCC Roads,Contractor_06,Pothole filling,Completed,24-03-2026,06-04-2026,GCC/ROAD/2026/7025,733678,No,No,N/A,Synthetic prototype intervention record
EVT_000060,RD_00840,28-08-2026,Road_Repair,GCC Roads,Contractor_06,Emergency road repair,Completed,28-08-2026,11-09-2026,GCC/ROAD/2026/5005,663126,No,No,N/A,Synthetic prototype intervention record
EVT_000061,RD_00129,28-05-2026,Pothole_Repair,GCC Roads,Contractor_03,Pothole filling,Completed,28-05-2026,02-06-2026,GCC/ROAD/2026/2616,704893,No,No,N/A,Synthetic prototype intervention record
EVT_000062,RD_00888,02-08-2026,Utility_Excavation,TANGEDCO,Contractor_15,Surface repair and maintenance,Completed,02-08-2026,16-08-2026,GCC/ROAD/2026/9717,133166,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000063,RD_00336,29-04-2026,Road_Repair,GCC Roads,Contractor_03,Drainage maintenance,Completed,29-04-2026,02-05-2026,GCC/ROAD/2026/4739,319751,No,No,N/A,Synthetic prototype intervention record
EVT_000064,RD_00201,16-01-2026,Road_Repair,GCC Roads,Contractor_09,Drainage maintenance,Completed,16-01-2026,23-01-2026,GCC/ROAD/2026/8071,480466,No,No,N/A,Synthetic prototype intervention record
EVT_000065,RD_00255,02-07-2026,Pothole_Repair,GCC Roads,Contractor_08,Drainage maintenance,Completed,02-07-2026,06-07-2026,GCC/ROAD/2026/8892,405457,No,No,N/A,Synthetic prototype intervention record
EVT_000066,RD_00182,24-05-2026,Utility_Work,Telecom Utility,Contractor_17,Emergency road repair,Completed,24-05-2026,02-06-2026,GCC/ROAD/2026/2907,256357,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000067,RD_00846,19-01-2026,Road_Repair,GCC Roads,Contractor_07,Pothole filling,Completed,19-01-2026,24-01-2026,GCC/ROAD/2026/8571,580090,No,No,N/A,Synthetic prototype intervention record
EVT_000068,RD_00222,07-02-2026,Road_Repair,GCC Roads,Contractor_03,Surface repair and maintenance,Completed,07-02-2026,13-02-2026,GCC/ROAD/2026/7425,277295,No,No,N/A,Synthetic prototype intervention record
EVT_000069,RD_00684,21-02-2026,Road_Cutting,Telecom Utility,Contractor_25,Surface repair and maintenance,Completed,21-02-2026,03-03-2026,GCC/ROAD/2026/5576,681843,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000070,RD_00394,04-06-2026,Drainage_Work,Other Utility Agency,Contractor_05,Surface repair and maintenance,Completed,04-06-2026,07-06-2026,GCC/ROAD/2026/7094,533141,No,No,N/A,Synthetic prototype intervention record
EVT_000071,RD_00079,01-03-2026,Road_Repair,GCC Roads,Contractor_29,Utility excavation and restoration,Completed,01-03-2026,03-03-2026,GCC/ROAD/2026/4636,480702,No,No,N/A,Synthetic prototype intervention record
EVT_000072,RD_00947,16-07-2026,Road_Restoration,Telecom Utility,Contractor_05,Drainage maintenance,Completed,16-07-2026,18-07-2026,GCC/ROAD/2026/6529,304871,No,No,N/A,Synthetic prototype intervention record
EVT_000073,RD_00536,15-03-2026,Road_Repair,GCC Roads,Contractor_07,Pothole filling,Completed,15-03-2026,17-03-2026,GCC/ROAD/2026/3236,620149,No,No,N/A,Synthetic prototype intervention record
EVT_000074,RD_00526,30-08-2026,Road_Restoration,Chennai Metro Water,Contractor_11,Emergency road repair,Completed,30-08-2026,07-09-2026,GCC/ROAD/2026/3054,564700,No,No,N/A,Synthetic prototype intervention record
EVT_000075,RD_00278,08-02-2026,Construction,Other Utility Agency,Contractor_05,Emergency road repair,Completed,08-02-2026,22-02-2026,GCC/ROAD/2026/9604,545840,No,No,N/A,Synthetic prototype intervention record
EVT_000076,RD_00475,23-07-2026,Construction,Chennai Metro Water,Contractor_09,Emergency road repair,Completed,23-07-2026,25-07-2026,GCC/ROAD/2026/4723,448381,No,No,N/A,Synthetic prototype intervention record
EVT_000077,RD_00773,10-06-2026,Road_Repair,GCC Roads,Contractor_14,Road resurfacing,Completed,10-06-2026,14-06-2026,GCC/ROAD/2026/8350,730038,No,No,N/A,Synthetic prototype intervention record
EVT_000078,RD_00294,07-06-2026,Drainage_Work,TANGEDCO,Contractor_08,Surface repair and maintenance,Completed,07-06-2026,18-06-2026,GCC/ROAD/2026/6408,66246,No,No,N/A,Synthetic prototype intervention record
EVT_000079,RD_00976,17-02-2026,Road_Restoration,TANGEDCO,Contractor_25,Emergency road repair,Completed,17-02-2026,01-03-2026,GCC/ROAD/2026/5684,592287,No,No,N/A,Synthetic prototype intervention record
EVT_000080,RD_00636,16-05-2026,Drainage_Work,TANGEDCO,Contractor_19,Drainage maintenance,Completed,16-05-2026,17-05-2026,GCC/ROAD/2026/3172,515475,No,No,N/A,Synthetic prototype intervention record
EVT_000081,RD_00851,06-04-2026,Road_Restoration,Telecom Utility,Contractor_04,Drainage maintenance,Completed,06-04-2026,10-04-2026,GCC/ROAD/2026/5183,96854,No,No,N/A,Synthetic prototype intervention record
EVT_000082,RD_00302,06-02-2026,Emergency_Repair,GCC Roads,Contractor_14,Pothole filling,Completed,06-02-2026,09-02-2026,GCC/ROAD/2026/5828,320412,No,No,N/A,Synthetic prototype intervention record
EVT_000083,RD_00606,27-07-2026,Construction,Chennai Metro Water,Contractor_28,Pothole filling,Completed,27-07-2026,31-07-2026,GCC/ROAD/2026/5862,119082,No,No,N/A,Synthetic prototype intervention record
EVT_000084,RD_00919,22-08-2026,Utility_Work,TANGEDCO,Contractor_04,Surface repair and maintenance,Completed,22-08-2026,23-08-2026,GCC/ROAD/2026/3196,511645,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000085,RD_00597,10-01-2026,Road_Repair,GCC Roads,Contractor_03,Pothole filling,Completed,10-01-2026,15-01-2026,GCC/ROAD/2026/4807,422945,No,No,N/A,Synthetic prototype intervention record
EVT_000086,RD_00721,07-07-2026,Road_Repair,GCC Roads,Contractor_09,Surface repair and maintenance,Completed,07-07-2026,13-07-2026,GCC/ROAD/2026/3953,132186,No,No,N/A,Synthetic prototype intervention record
